Type རྒྱུ་ཆའི་རིགས།,Title མཚན་བྱང་།,Author name མཛད་པ་པོ།,Resource id ,Website link བརྩམས་ཆོས་དྲ་ཐག,yes/no,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེར་ལེའི་རྒྱ་ཆེར་འགྲེལ་མཆན་སྙིང་པོའི་དོན་གསལ་ཉིན་བྱེད་ཆེན་པོ།,བློ་གྲོས་རྒྱལ་མཚན།,R099D5570,http://purl.bdrc.io/resource/WA27521,yes,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་གི་ཚིག་འགྲེལ་གཅེས་བཏུས།,མཁན་ཆེན་ཁྲ་འགུ་རིན་པོ་ཆེ།,R0507CCC1,http://purl.bdrc.io/resource/WA3JT13379,yes,
རྒྱུ་ཆ་གཞན།,༥ སྤྱོད་འཇུག་བརྒྱུད་པའི་གསོལ་འདེབས།,རྫ་དཔལ་སྤྲུལ་ཨོ་རྒྱན་འཇིགས་མེད་ཆོས་ཀྱི་དབང་པོ།,R88847A10,http://purl.bdrc.io/resource/WA0XL3DAC2529F96A,yes,
རྒྱུ་ཆ་གཞན།,སྤྱོད་འཇུག་གི་བརྒྱུད་འདེབས།,ངོར་མཁན་ཆེན ༠༡་ཀུན་དགའ་བཟང་པོ།,R8446894F,http://purl.bdrc.io/resource/WA0XLB33A9C69E345,yes,
འགྲེལ་བ། {ཡི་གེ},བཀའ་གདམས་ལྷ་བཞིའི་རྣལ་འབྱོར་དང་འབྲེལ་བའི་སྤྱོད་འཇུག་ལེའུ་བཞིའི་མན་ངག་ཉམས་སུ་ལེན་ཚུལ་དངོས་གྲུབ་ཡོངས་འདུའི་སྙེ་མ།,མཁྱེན་རབ་བསྟན་པ་ཆོས་འཕེལ།,R39738895,http://purl.bdrc.io/resource/WA0XL278E02B88B70,yes,
ས་བཅད།,སྤྱོད་འཇུག་ས་བཅད་དོན་གསལ་མེ་ལོང་།,,RAF03ABF1,http://purl.bdrc.io/resource/WA0XLA87784D5DD6A,yes,
འགྲེལ་བ། {ཡི་གེ},ཟབ་མོ་ལྟ་བའི་ལུགས་ཀྱི་བྱང་ཆུབ་སེམས་དཔའི་སྡོམ་པ་ལེན་ཚུལ་སྤྱོད་འཇུག་དང་སྦྱར་བ།,འབྲུག་རྗེ་མཁན་པོ ༦༩་དགེ་འདུན་རིན་ཆེན།,RB34EB433,http://purl.bdrc.io/resource/WA0XLFBD57931D203,yes,
འགྲེལ་བ། {ཡི་གེ},སྤྱོད་འཇུག་ཤེས་རབ་ལེའུའི་ཊཱིཀྐ་བློ་གསལ་བ་ཞེས་པ།,ཙོང་ཁ་པ་བློ་བཟང་གྲགས་པ།,RBF0E36D6,http://purl.bdrc.io/resource/WA0XLFF0FB9D3BEB1,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་རྟོགས་པར་དཀའ་བའི་གནས་གཏན་ལ་དབབ་པ་ཞེས་བྱ་བའི་གཞུང,སློབ་དཔོན་ཀྲིཥི་ན།,RE944C682,http://purl.bdrc.io/resource/WA0RT3220,yes,
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དོན་སུམ་ཅུ་རྩ་དྲུག་ཏུ་བསྡུས་པ།,,RE07335AF,http://purl.bdrc.io/resource/WA0RT3223,yes,D3878-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དོན་སུམ་ཅུ་རྩ་དྲུག་ཏུ་བསྡུས་པ།,,RE07335AF,http://purl.bdrc.io/resource/WA0RT3223,yes,D3878-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་ལེགས་པར་སྦྱར་བ།,དགེ་བའི་ལྷ།,R9A454784,http://purl.bdrc.io/resource/WA0RT3219,yes,D3874-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དཀའ་འགྲེལ།,ཤེས་རབ་འབྱུང་གནས་བློ་གྲོས།,R9ACAFA99,http://purl.bdrc.io/resource/WA21708,yes,D3875-final
འགྲེལ་བ། {ཡི་གེ},བྱང་ཆུབ་ཀྱི་སྤྱོད་པ་ལ་འཇུག་པའི་དགོངས་པའི་འགྲེལ་པ་ཁྱད་པར་གསལ་བྱེད།,པཎྜི་ཏ་བི་བྷུ་ཏི་ཙནྡྲ།,R9B72A4A4,http://purl.bdrc.io/resource/WA0RT3225,yes,D3880-final
,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་དོན་བསྡུས་པ།,,,https://library.bdrc.io/show/bdr:WA0RT3224?s=q%3D%2522%25E0%25BD%2596%25E0%25BE%25B1%25E0%25BD%2584%25E0%25BC%258B%25E0%25BD%2586%25E0%25BD%25B4%25E0%25BD%2596%25E0%25BC%258B%25E0%25BD%25A6%25E0%25BD%25BA%25E0%25BD%2598%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2591%25E0%25BD%2594%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%25A6%25E0%25BE%25A4%25E0%25BE%25B1%25E0%25BD%25BC%25E0%25BD%2591%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%25E0%25BD%25A3%25E0%25BC%258B%25E0%25BD%25A0%25E0%25BD%2587%25E0%25BD%25B4%25E0%25BD%2582%25E0%25BC%258B%25E0%25BD%2594%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%2591%25E0%25BD%25BC%25E0%25BD%2593%25E0%25BC%258B%25E0%25BD%2596%25E0%25BD%25A6%25E0%25BE%25A1%25E0%25BD%25B4%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258D%2522~1%26lg%3Dbo%26t%3DWork%26n%3D1,,D3879
,བྱང་ཆུབ་སེམས་དཔའི་སྤྱོད་པ་ལ་འཇུག་པའི་འགྲེལ་བ་ལེགས་པར་བཤད་པའི་རྒྱ་མཚོ་ཞེ་བྱ་བ།,,,https://library.bdrc.io/show/bdr:WA0LULDC296292?s=q%3D%2522%25E0%25BC%258D%25E0%25BD%2596%25E0%25BE%25B1%25E0%25BD%2584%25E0%25BC%258B%25E0%25BD%2586%25E0%25BD%25B4%25E0%25BD%2596%25E0%25BC%258B%25E0%25BD%25A6%25E0%25BD%25BA%25E0%25BD%2598%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2591%25E0%25BD%2594%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%25A6%25E0%25BE%25A4%25E0%25BE%25B1%25E0%25BD%25BC%25E0%25BD%2591%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%25E0%25BD%25A3%25E0%25BC%258B%25E0%25BD%25A0%25E0%25BD%2587%25E0%25BD%25B4%25E0%25BD%2582%25E0%25BC%258B%25E0%25BD%2594%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%25A0%25E0%25BD%2582%25E0%25BE%25B2%25E0%25BD%25BA%25E0%25BD%25A3%25E0%25BC%258B%25E0%25BD%2594%25E0%25BC%258B%25E0%25BD%25A3%25E0%25BD%25BA%25E0%25BD%2582%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2594%25E0%25BD%25A2%25E0%25BC%258B%25E0%25BD%2596%25E0%25BD%25A4%25E0%25BD%2591%25E0%25BC%258B%25E0%25BD%2594%25E0%25BD%25A0%25E0%25BD%25B2%25E0%25BC%258B%25E0%25BD%25A2%25E0%25BE%2592%25E0%25BE%25B1%25E0%25BC%258B%25E0%25BD%2598%25E0%25BD%259A%25E0%25BD%25BC%25E0%25BC%258B%25E0%25BD%259E%25E0%25BD%25BA%25E0%25BD%25A6%25E0%25BC%258B%25E0%25BD%2596%25E0%25BE%25B1%25E0%25BC%258B%25E0%25BD%2596%25E0%25BC%258D%2522~1%26lg%3Dbo%26t%3DWork%26s%3Dclosest%2520matches%2520forced%26n%3D1,,Thokme Zangpo
,སྤྱོད་འཇུག་ཆེན་མོ།,རྒྱལ་སྲས་ཆེན་པོ་ཞི་བ་ལྷ།,RDB0E4807,,yes,
