index	trigger	syllables	flag	preview
1570	ordinal-open	27		དང་པོ་ལ་གཉིས། བདག་གི་བསྟོད་གྲགས་འཇིག་པ་ལ་གནོད་པར་མི་ལྟ་བ་དང༌། བསྟོད་གྲགས་འགོག་པ་
1571	ordinal-open	36		དང་པོ་ལ་བཞི། བསྟོད་སོགས་ནི་བདག་གི་བདེ་བའི་རྒྱུ་མ་ཡིན་པར་བསྟན། བསྟོད་གྲགས་ལ་ཆགས་པ
1572	ordinal-open	3		དང་པོ་ནི།
1573	verse-stanza	25		བསྟོད་དང་གྲགས་དང་རིམ་གྲོ་ནི།།↵བསོད་ནམས་མི་འགྱུར་ཚེར་མི་འགྱུར།།↵བདག་སྟོབས་མི་འགྱུ
1574	line-end	70		ཞེས་གསུངས་ཏེ། དེ་ཡང་གལ་ཏེ་བསྟོད་པའམ་གྲགས་པ་བསྒྲགས་པ་ན་དེས་བདག་གི་ནད་ཞི་བའམ་ཚེ་འཕ
1575	verse-stanza	13		བདག་ནི་རང་དོན་ཤེས་གྱུར་ན།།↵དེ་ལ་རང་དོན་ཅི་ཞིག་ཡོད།།
1576	line-end	79		ཅེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་སེམས་ཁྱོད་ནི་སུ་ཡང་མ་ཡིན་པ་ཞིག་ལ་རང་དུ་ཞེན་ཅིང་འདི་ཁ
1577	verse-stanza	13		ཡིད་བདེ་འབའ་ཞིག་འདོད་ན་ནི།།↵རྒྱན་སོགས་ཆང་ཡང་བསྟེན་དགོས་སོ།།
1578	terminal-particle	66		ཞེས་གསུངས་ཏེ། གལ་ཏེ་ལུས་ལ་བདེ་བ་སོགས་མི་འབྱུང་ཡང་བསྟོད་གྲགས་དེས་བདག་གི་ཡིད་བདེ་བ
1579	terminal-particle	52		དུག་ཀྱང་ཟ་རིགས་པར་འགྱུར་ཏེ་འཕྲལ་དུ་མངར་བའི་ཕྱིར། དེས་ན་བསྟོད་གྲགས་ཀྱིས་ཡིད་བདེ་བ
1580	ordinal-open	12		གཉིས་པ་བསྟོད་གྲགས་ལ་ཆགས་པའི་ཉེས་པ་བསྟན་པ་ནི།
1581	verse-stanza	25		གྲགས་པའི་ཕྱིར་ནི་ནོར་ཤོར་ཞིང༌།།↵བདག་ཉིད་ཀྱང་ནི་གསོད་བྱེད་ན།།↵ཚིག་འབྲུ་རྣམས་ཀྱིས་
1582	line-end	114		ཞེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་བསྟོད་གྲགས་ནི་ཉེས་པའི་འབྱུང་ཁུངས་ཡིན་ཏེ་བསྟོད་གྲགས་ས
1583	verse-stanza	25		བྱེ་མའི་ཁང་བུ་རྡིབ་གྱུར་ན།།↵བྱིས་པ་རྣམས་ནི་ག་ཆད་ངུ༌།།↵དེ་བཞིན་བསྟོད་དང་གྲགས་ཉམས་
1584	terminal-particle	50		ཞེས་གསུངས་ཏེ། དེས་ན་བྱེ་མའི་ཁང་བུ་རྡིབ་པ་ན་བྱིས་པ་དག་ག་ཆད་པར་ངུ་ཞིང་འགྲེ་ལྡོག་པ་
1585	ordinal-open	17		གསུམ་པ་རྣམ་པར་བརྟགས་ཏེ་བསྟོད་གྲགས་ལ་ཆགས་བྱ་མ་ཡིན་པར་བསྟན་པ་ནི།
1586	verse-stanza	13		རེ་ཞིག་སྒྲ་ལ་སེམས་མེད་ཕྱིར།།↵བདག་ལ་བསྟོད་སེམས་ཡོང་མི་སྲིད།།
1587	terminal-particle	32		ཅེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་རེ་ཞིག་བརྟག་པར་བྱ་སྟེ་བསྟོད་གྲགས་དེ་ནི་མིང་ཚིག་ཡི་གེ
1588	terminal-particle	82		ཞེས་བྱ་བ་འདི་གཞན་ཞིག་གིས་བདག་ལ་བརྗོད་པས་བསྟོད་པ་དང༌། དེ་བཞིན་དུ་མས་བརྒྱུད་ནས་བསྒ
1589	terminal-particle	53		དེ་དག་ཚོགས་པ་ལས་སྐྱེས་བུ་དང་ཁྱོད་དང་མཛེས་པ་ཞེས་སོགས་ནི་མིང་རེ་རེ་བ་སྟེ་དེ་དག་ཀྱང
1590	terminal-particle	74		གལ་ཏེ་མིང་འདུས་པས་དོན་གྱི་ཁྱད་པར་བསྟན་པའི་ཚིག་ཡིན་ནོ་སྙམ་ན། འདི་ནི་རང་གི་བློས་འད
1591	line-end	50		དེས་ན་ཡང་དག་པར་ན་བསྟོད་པ་དང་གྲགས་པའི་སྒྲ་ཞིག་ཀྱང་མེད་ལ། གལ་ཏེ་སྒྲ་ཙམ་འདི་ཁོ་ན་བས
1592	verse-stanza	25		བདག་ལ་གཞན་དགའ་ཞེས་གྲག་པ།།↵དེ་ནི་དགའ་བའི་རྒྱུ་ཡིན་གྲང༌།།↵གཞན་ནམ་ཡང་ན་བདག་ལའང་རུང༌
1593	verse-stanza	13		དགའ་བདེ་དེ་ནི་དེ་ཉིད་ཀྱི།།↵བདག་གིས་དེ་ལས་ཤས་མི་འཐོབ།།
1594	line-end	76		ཅེས་གསུངས་ཏེ། ཡང་དེ་ལ་བརྟེན་ནས་བདག་ལ་གཞན་དག་དགའ་འོ་ཞེས་རང་གིས་གོ་བར་འགྱུར་བས་འདི
1595	verse-stanza	25		དེ་བདེ་བ་ཡིས་བདག་བདེ་ན།།↵ཀུན་ལའང་དེ་བཞིན་བྱ་དགོས་ན།།↵ཇི་ལྟར་གཞན་ལ་དགའ་བ་ཡིས།།↵བད
1596	terminal-particle	65		ཞེས་གསུངས་ཏེ། གལ་ཏེ་དེ་བདེ་བས་བདག་གི་ཡིད་བདེ་འོ་ཞེ་ན། ལེགས་ཏེ་སེམས་ཁྱོད་ཀྱིས་སེམ
1597	ordinal-open	6		བཞི་པ་དོན་བསྡུས་པ་ནི།
1598	verse-stanza	25		དེ་བས་བདག་ནི་བསྟོད་དོ་ཞེས།།↵རང་གིས་དགའ་བ་སྐྱེ་འགྱུར་པ།།↵དེ་ཡང་དེ་ལྟར་མི་འཐད་པས།།
1599	terminal-particle	46		ཅེས་གསུངས་ཏེ། རྒྱུ་མཚན་དེ་རྣམས་ཀྱིས་རྣམ་པར་བརྟགས་པ་ན་སྙིང་པོ་མེད་པའི་བསྟོད་གྲགས་
1600	ordinal-open	26		གཉིས་པ་བསྟོད་གྲགས་འགོག་པ་ནི་ཕན་འདོགས་ཀྱི་དམ་པར་བསྟན་པ་ལ་གཉིས། ངན་སོང་ལས་སྲུང་བ་ད
1601	ordinal-open	3		དང་པོ་ནི།
1602	verse-stanza	25		བསྟོད་སོགས་དག་ནི་གཡེང་བར་བྱེད།།↵དེས་ནི་སྐྱོ་བའང་འཇིག་པར་བྱེད།།↵ཡོན་ཏན་ལྡན་ལ་ཕྲག་
1603	line-end	77		ཅེས་གསུངས་ཏེ། དེ་ཡང་བསྟོད་གྲགས་ལ་དགའ་བ་ན་དེས་སེམས་གཡོ་ཞིང་ཏིང་ངེ་འཛིན་དང་བྲལ་བར་
1604	verse-stanza	25		དེ་ཕྱིར་བདག་གི་བསྟོད་སོགས་ནི།།↵གཞིག་ཕྱིར་གང་དག་ཉེར་གནས་པ།།↵དེ་དག་བདག་ནི་ངན་སོང་ད
1605	terminal-particle	75		ཞེས་གསུངས་ཏེ། དེས་ན་སུ་ཞིག་བདག་གི་བསྟོད་པ་དང་གྲགས་པ་སོགས་འགོག་ཅིང་མི་སྙན་པ་སྒྲུབ
1606	ordinal-open	9		གཉིས་པ་ཐར་པའི་གྲོགས་སུ་བསྟན་པ་ནི།
1607	verse-stanza	13		བདག་ནི་གྲོལ་བ་དོན་གཉེར་ལ།།↵རྙེད་དང་བཀུར་སྟིས་འཆིང་མི་དགོས།།
1608	line-end	52		ཞེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་བདག་ནི་དང་པོར་རབ་ཏུ་བྱུང་བ་དང་བྱང་ཆུབ་ཏུ་སེམས་བསྐྱེད
1609	verse-stanza	33		ལྟ་གྱུར་འཆིང་དང་རྙེད་དང་བཀུར་སྟི་དང༌།།↵གྲགས་པའི་འཆིང་བ་རབ་ཏུ་བྱུང་བ་ཡི།།↵འཆིང་བ་
1610	line-end	49		ཞེས་དང༌། གཞན་ཡང་མདོ་རྣམས་ལས། འདུ་འཛིའི་ཉེས་དམིགས་རྒྱས་པར་བསྟན་པའི་ཕྱིར་ན། བདག་ལ་
1611	verse-stanza	13		གང་དག་བདག་བཅིངས་གྲོལ་བྱེད་པ།།↵དེ་ལ་བདག་ནི་ཇི་ལྟར་ཁྲོ།།
1612	line-end	52		ཞེས་གསུངས་ཏེ། དེས་ན་བདག་བྱང་ཆུབ་ཀྱི་ལམ་དུ་མྱུར་བར་འགྲོ་བ་ལ་ཚེ་འདི་དོན་གཉེར་གྱི་འ
1613	verse-stanza	26		ནད་སེལ་བ་ལ་སྨན་པ་བཞིན་ནོ།།↵བདག་ནི་སྡུག་བསྔལ་འཇུག་འདོད་ལ།།↵སངས་རྒྱས་ཀྱིས་ནི་བྱིན་
1614	terminal-particle	59		དེ་ལ་བདག་ནི་ཇི་ལྟར་ཁྲོ།། ཞེས་གསུངས་ཏེ། དེ་ལྟར་བདག་སྡུག་བསྔལ་གྱི་རྒྱུ་ལས་ལྡོག་པ་ང
1615	ordinal-open	36		གཉིས་པ་བསོད་ནམས་ཀྱི་གེགས་བྱེད་པ་ལ་བཟོད་པར་བསྟན་པ་ལ་གསུམ། ཁྲོ་བ་ཁོ་ན་བསོད་ནམས་ཀྱི
1616	ordinal-open	3		དང་པོ་ནི།
1617	verse-stanza	25		འདི་ནི་བསོད་ནམས་གེགས་བྱེད་ཅེས།།↵དེ་ལའང་ཁྲོ་བ་རིགས་མིན་ཏེ།།↵བཟོད་མཚུངས་དཀའ་ཐུབ་ཡོ
1618	line-end	99		ཞེས་གསུངས་ཏེ། དེ་ཡང་གནོད་བྱེད་འདིས་བདག་གི་བསོད་ནམས་ཀྱི་ལས་དགེ་བའི་བར་ཆད་བྱས་པས་ཁ
1619	verse-stanza	25		གལ་ཏེ་བདག་ནི་རང་སྐྱོན་གྱིས།།↵འདི་ལ་བཟོད་པར་མི་བྱེད་ན།།↵བསོད་ནམས་རྒྱུ་ནི་ཉེར་གནས་
1620	terminal-particle	51		ཅེས་གསུངས་ཏེ། དེ་ལྟ་མོད་ཀྱི་བདག་ནི་རང་གི་སྐྱོན་ཞེ་སྡང་གི་དབང་དུ་གྱུར་ཏེ་དགེ་བ་ཆེ
1621	ordinal-open	11		གཉིས་པ་གནོད་བྱེད་གེགས་མ་ཡིན་པར་བསྟན་པ་ནི།
1622	verse-stanza	25		གང་ཞིག་གང་མེད་མི་འབྱུང་ལ།།↵གང་ཞིག་ཡོད་ན་ཡོད་འགྱུར་བ།།↵དེ་ཉིད་དེ་ཡི་རྒྱུ་ཡིན་ན།།↵
1623	line-end	62		ཞེས་གསུངས་ཏེ། དེས་ན་གང་ཞིག་གནོད་བྱེད་མེད་ན་བཟོད་པ་གང་མེད་ལ་གནོད་བྱེད་ཡོད་ན་བཟོད་
1624	verse-stanza	25		དུས་སུ་ཕྱིན་པའི་སློང་མོ་བས།།↵སྦྱིན་པའི་གེགས་བྱས་ཡོད་མ་ཡིན།།↵རབ་ཏུ་འབྱིན་པར་བྱེད་
1625	terminal-particle	42		ཞེས་གསུངས་ཏེ། དཔེར་ན། དུས་སུ་ཕྱིན་པའི་སློང་མོ་པས་སྦྱིན་པའི་གེགས་བྱས་པ་ཡོད་པ་མ་ཡི
1626	ordinal-open	30		གསུམ་པ་གུས་པའི་ཡུལ་དུ་བསྟན་པ་ལ་གཉིས། བཟོད་པའི་གྲོགས་ཡིན་པའི་ཕྱིར་གུས་པར་བྱ་བ་དང༌
